Px016979	XP_011566912.1
Px000290	XP_011554236.1
Px000291	XP_011554237.1
Px000292	XP_011554238.1
Px000293	XP_011556123.1
Px000294	XP_011554239.1
Px000295	XP_011554244.1
Px000296	XP_011554248.1
Px000297	XP_011554249.1
Px000298	XP_011554250.1
Px000299	XP_011554251.1
Px000300	XP_011554277.1
Px000301	XP_011554252.1
Px000302	XP_011554257.1
Px000303	XP_011554260.1
Px000304	XP_011554261.1
Px000306	XP_011554262.1
Px000307	XP_011554263.1
Px000310	XP_011554283.1
Px000311	XP_011554283.1
Px000312	XP_011554265.1
Px009485	XP_011561978.1
Px009486	XP_011558723.1
Px009488	XP_011561962.1
Px009491	XP_011561979.1
Px009492	XP_011555105.1
Px009493	XP_011561981.1
Px009494	XP_011561983.1
Px009495	XP_011561963.1
Px009496	XP_011567238.1
Px009497	XP_011561966.1
Px009498	XP_011561985.1
Px009499	XP_011561967.1
Px009500	XP_011561969.1
Px009501	XP_011561970.1
Px009502	XP_011561987.1
Px009503	XP_011561971.1
Px009504	XP_011561972.1
Px009505	XP_011561974.1
Px009506	XP_011561975.1
Px009507	XP_011561976.1
Px001174	XP_011567691.1
Px015560	XP_011566223.1
Px015563	XP_011549254.1
Px015564	XP_011549259.1
Px015566	XP_011566224.1
Px012131	XP_011552362.1
Px012132	XP_011562249.1
Px012133	XP_011562249.1
Px012134	XP_011562250.1
Px012135	XP_011562269.1
Px012136	XP_011562271.1
Px012137	XP_011562271.1
Px012138	XP_011563787.1
Px012139	XP_011562273.1
Px012141	XP_011562274.1
Px012142	XP_011562251.1
Px012143	XP_011562275.1
Px012144	XP_011562252.1
Px012145	XP_011562253.1
Px012146	XP_011562276.1
Px012147	XP_011562254.1
Px012148	XP_011562278.1
Px012149	XP_011562278.1
Px012150	XP_011562279.1
Px012151	XP_011562257.1
Px012152	XP_011562260.1
Px012153	XP_011562280.1
Px012154	XP_011562261.1
Px012155	XP_011562262.1
Px012157	XP_011562263.1
Px012158	XP_011562282.1
Px001180	XP_011555111.1
Px001181	XP_011553094.1
Px001182	XP_011553095.1
Px001183	XP_011553055.1
Px001184	XP_011553057.1
Px001185	XP_011553058.1
Px001186	XP_011553058.1
Px001188	XP_011553096.1
Px001189	XP_011553098.1
Px001190	XP_011553099.1
Px001191	XP_011553060.1
Px001192	XP_011553071.1
Px001193	XP_011553077.1
Px001196	XP_011553102.1
Px001197	XP_011553083.1
Px001198	XP_011553084.1
Px001199	XP_011553085.1
Px001200	XP_011553103.1
Px001201	XP_011553089.1
Px001203	XP_011553088.1
Px001204	XP_011553090.1
Px001205	XP_011553104.1
Px001206	XP_011549268.1
Px001207	XP_011553105.1
Px001208	XP_011553106.1
Px001209	XP_011553091.1
Px001210	XP_011553092.1
Px001211	XP_011559184.1
Px002232	XP_011567949.1
Px000903	XP_011567640.1
Px000904	XP_011551381.1
Px000793	XP_011564276.1
Px013449	XP_011564907.1
Px013450	XP_011567894.1
Px013451	XP_011564903.1
Px013452	XP_011564904.1
Px013453	XP_011564908.1
Px013454	XP_011564909.1
Px013456	XP_011564910.1
Px008183	XP_011560651.1
Px008184	XP_011560652.1
Px008185	XP_011560616.1
Px008186	XP_011560654.1
Px008187	XP_011560655.1
Px008188	XP_011560656.1
Px008189	XP_011560621.1
Px008190	XP_011560623.1
Px008191	XP_011560657.1
Px008192	XP_011560648.1
Px008193	XP_011560636.1
Px008194	XP_011560649.1
Px008195	XP_011554843.1
Px017182	XP_011566712.1
Px017184	XP_011567025.1
Px017186	XP_011567018.1
Px017187	XP_011567019.1
Px017188	XP_011567019.1
Px017189	XP_011567026.1
Px017190	XP_011567021.1
Px016618	XP_011566628.1
Px016619	XP_011563282.1
Px009113	XP_011561336.1
Px009114	XP_011561338.1
Px009115	XP_011561341.1
Px009116	XP_011561343.1
Px009117	XP_011561344.1
Px009118	XP_011557406.1
Px009119	XP_011561346.1
Px009121	XP_011561347.1
Px009122	XP_011558220.1
Px009123	XP_011561348.1
Px009124	XP_011561349.1
Px009125	XP_011561342.1
Px009126	XP_011563386.1
Px001872	XP_011567930.1
Px017792	XP_011548100.1
Px017793	XP_011567456.1
Px017102	XP_011566937.1
Px017103	XP_011566937.1
Px017104	XP_011566938.1
Px013279	XP_011564772.1
Px013280	XP_011564774.1
Px013281	XP_011562601.1
Px013282	XP_011564775.1
Px013283	XP_011564776.1
Px013284	XP_011565553.1
Px013285	XP_011564773.1
Px013286	XP_011564778.1
Px013287	XP_011564779.1
Px003295	XP_011568074.1
Px009636	XP_011558989.1
Px009637	XP_011562096.1
Px009638	XP_011562098.1
Px009639	XP_011562099.1
Px009640	XP_011562937.1
Px009641	XP_011555023.1
Px009642	XP_011562119.1
Px009644	XP_011562101.1
Px009645	XP_011562120.1
Px009646	XP_011562103.1
Px009647	XP_011562122.1
Px003985	XP_011568131.1
Px017395	XP_011562281.1
Px013574	XP_011564854.1
Px013575	XP_011564855.1
Px013576	XP_011564856.1
Px013577	XP_011564849.1
Px013578	XP_011564850.1
Px013579	XP_011564851.1
Px013580	XP_011564857.1
Px013581	XP_011564857.1
Px013582	XP_011564858.1
Px002432	XP_011567995.1
Px005938	XP_011553660.1
Px005939	XP_011549795.1
Px005940	XP_011554271.1
Px005941	XP_011551365.1
Px005942	XP_011558402.1
Px005943	XP_011558425.1
Px005944	XP_011558426.1
Px005945	XP_011558406.1
Px005946	XP_011558407.1
Px005947	XP_011558408.1
Px005948	XP_011550274.1
Px005949	XP_011558411.1
Px005950	XP_011566310.1
Px005951	XP_011558414.1
Px005952	XP_011558416.1
Px005953	XP_011564635.1
Px005954	XP_011558428.1
Px005955	XP_011558429.1
Px005956	XP_011558417.1
Px005957	XP_011558430.1
Px001556	XP_011567789.1
Px004055	XP_011568147.1
Px017165	XP_011567002.1
Px017166	XP_011567004.1
Px017167	XP_011557956.1
Px016256	XP_011566465.1
Px016257	XP_011566466.1
Px016258	XP_011562780.1
Px016259	XP_011566468.1
Px015057	XP_011558397.1
Px015058	XP_011557900.1
Px015059	XP_011566023.1
Px015060	XP_011558390.1
Px015061	XP_011566024.1
Px013066	XP_011564469.1
Px013067	XP_011564463.1
Px013068	XP_011564464.1
Px013069	XP_011564467.1
Px013070	XP_011564470.1
Px014584	XP_011565686.1
Px014585	XP_011565689.1
Px014586	XP_011559429.1
Px014587	XP_011565692.1
Px001126	XP_011551310.1
Px001127	XP_011551311.1
Px001128	XP_011551312.1
Px001129	XP_011551314.1
Px001130	XP_011551316.1
Px001131	XP_011551359.1
Px001134	XP_011551360.1
Px001135	XP_011551360.1
Px001136	XP_011551323.1
Px001137	XP_011551327.1
Px001138	XP_011551361.1
Px001139	XP_011551328.1
Px001140	XP_011551331.1
Px001141	XP_011551330.1
Px001142	XP_011551330.1
Px001143	XP_011551332.1
Px001144	XP_011551338.1
Px001145	XP_011551339.1
Px001146	XP_011551343.1
Px001147	XP_011551343.1
Px001148	XP_011551343.1
Px001149	XP_011551364.1
Px001150	XP_011551365.1
Px001152	XP_011555430.1
Px001153	XP_011565701.1
Px001154	XP_011564964.1
Px001155	XP_011551366.1
Px001158	XP_011551366.1
Px001159	XP_011553417.1
Px001160	XP_011551369.1
Px001161	XP_011551351.1
Px001162	XP_011551354.1
Px001164	XP_011551355.1
Px001165	XP_011551371.1
Px001166	XP_011551373.1
Px011966	XP_011564003.1
Px011967	XP_011563991.1
Px011968	XP_011565765.1
Px011969	XP_011564004.1
Px011970	XP_011555270.1
Px011971	XP_011563992.1
Px011972	XP_011563998.1
Px011973	XP_011563999.1
Px011974	XP_011564000.1
Px011975	XP_011564001.1
Px011976	XP_011564002.1
Px011977	XP_011560669.1
Px016881	XP_011553674.1
Px016882	XP_011553685.1
Px016883	XP_011553686.1
Px016884	XP_011553675.1
Px016885	XP_011553687.1
Px016886	XP_011553676.1
Px016887	XP_011553688.1
Px016888	XP_011553689.1
Px016889	XP_011553690.1
Px016890	XP_011553691.1
Px016891	XP_011553679.1
Px016892	XP_011556183.1
Px016893	XP_011556183.1
Px016894	XP_011556179.1
Px016895	XP_011553698.1
Px016897	XP_011553680.1
Px016898	XP_011553701.1
Px016899	XP_011553701.1
Px016900	XP_011553682.1
Px016901	XP_011553684.1
Px016902	XP_011553975.1
Px016903	XP_011553704.1
Px016904	XP_011553705.1
Px001644	XP_011567819.1
Px001318	XP_011567736.1
Px007169	XP_011560001.1
Px007170	XP_011559970.1
Px007171	XP_011559972.1
Px007172	XP_011559974.1
Px007173	XP_011559975.1
Px007174	XP_011560003.1
Px007175	XP_011559976.1
Px007176	XP_011559983.1
Px007177	XP_011559983.1
Px007179	XP_011559988.1
Px007180	XP_011559985.1
Px007181	XP_011559989.1
Px007182	XP_011560004.1
Px007183	XP_011560005.1
Px007184	XP_011559990.1
Px007185	XP_011559992.1
Px007186	XP_011560006.1
Px007187	XP_011559995.1
Px007188	XP_011559993.1
Px007189	XP_011559996.1
Px007190	XP_011559997.1
Px007191	XP_011560000.1
Px007192	XP_011560007.1
Px002235	XP_011567931.1
Px001057	XP_011558381.1
Px016260	XP_011554426.1
Px006948	XP_011559908.1
Px006949	XP_011559908.1
Px006950	XP_011559908.1
Px006951	XP_011559909.1
Px006952	XP_011559889.1
Px006953	XP_011559890.1
Px006954	XP_011559891.1
Px006956	XP_011559893.1
Px006957	XP_011569139.1
Px006958	XP_011559894.1
Px006959	XP_011559896.1
Px006960	XP_011559901.1
Px006962	XP_011559904.1
Px006963	XP_011552920.1
Px006966	XP_011563069.1
Px006967	XP_011559907.1
Px010581	XP_011558550.1
Px010582	XP_011558553.1
Px010585	XP_011558554.1
Px010586	XP_011558555.1
Px010587	XP_011558556.1
Px010588	XP_011566984.1
Px010589	XP_011566991.1
Px010591	XP_011565521.1
Px010592	XP_011558557.1
Px010593	XP_011558558.1
Px010594	XP_011558559.1
Px010596	XP_011558560.1
Px010598	XP_011558563.1
Px010601	XP_011558564.1
Px010602	XP_011558523.1
Px010603	XP_011558524.1
Px010604	XP_011549863.1
Px010606	XP_011558565.1
Px010607	XP_011558566.1
Px010608	XP_011548134.1
Px010609	XP_011558525.1
Px010610	XP_011558525.1
Px010611	XP_011558567.1
Px010612	XP_011558570.1
Px010614	XP_011558571.1
Px010617	XP_011558572.1
Px010618	XP_011558572.1
Px010619	XP_011558526.1
Px010620	XP_011558526.1
Px010621	XP_011558528.1
Px010622	XP_011558529.1
Px010623	XP_011558532.1
Px010624	XP_011558535.1
Px010625	XP_011558537.1
Px010626	XP_011558538.1
Px010627	XP_011558540.1
Px010628	XP_011558573.1
Px010629	XP_011551371.1
Px010630	XP_011558546.1
Px010631	XP_011558548.1
Px010632	XP_011558549.1
Px010633	XP_011558575.1
Px010634	XP_011558575.1
Px001773	XP_011567879.1
Px001218	XP_011567690.1
Px011127	XP_011563251.1
Px011128	XP_011563252.1
Px011129	XP_011563253.1
Px011130	XP_011563254.1
Px011132	XP_011563258.1
Px011133	XP_011563259.1
Px002930	XP_011556370.1
Px002932	XP_011556371.1
Px002933	XP_011556388.1
Px002934	XP_011556374.1
Px002935	XP_011556389.1
Px002936	XP_011556379.1
Px002937	XP_011556380.1
Px002938	XP_011556381.1
Px002939	XP_011556381.1
Px002940	XP_011556285.1
Px002941	XP_011556903.1
Px002942	XP_011556392.1
Px002944	XP_011556383.1
Px002945	XP_011556384.1
Px002946	XP_011561650.1
Px002947	XP_011556386.1
Px002948	XP_011554541.1
Px002949	XP_011556387.1
Px002950	XP_011554564.1
Px002951	XP_011554564.1
Px001812	XP_011557207.1
Px013669	XP_011565163.1
Px013670	XP_011561931.1
Px013672	XP_011565166.1
Px013673	XP_011565167.1
Px011253	XP_011563327.1
Px011254	XP_011563317.1
Px011255	XP_011563329.1
Px011256	XP_011563318.1
Px011257	XP_011563320.1
Px011258	XP_011563321.1
Px011259	XP_011563323.1
Px011260	XP_011563322.1
Px006730	XP_011559492.1
Px006731	XP_011559499.1
Px006732	XP_011559493.1
Px006733	XP_011559500.1
Px006734	XP_011559501.1
Px006736	XP_011559502.1
Px006737	XP_011559504.1
Px006738	XP_011559505.1
Px006739	XP_011559505.1
Px006740	XP_011559494.1
Px006742	XP_011559507.1
Px006743	XP_011560406.1
Px007213	XP_011558062.1
Px007214	XP_011554286.1
Px007215	XP_011560756.1
Px007216	XP_011554292.1
Px007217	XP_011554293.1
Px007218	XP_011554294.1
Px007219	XP_011554303.1
Px007221	XP_011554297.1
Px007223	XP_011555566.1
Px007224	XP_011554303.1
Px007225	XP_011554303.1
Px007226	XP_011568505.1
Px007227	XP_011560311.1
Px001168	XP_011567666.1
Px013934	XP_011567095.1
Px013935	XP_011564934.1
Px013936	XP_011564919.1
Px013937	XP_011567094.1
Px013938	XP_011564920.1
Px013939	XP_011564939.1
Px013940	XP_011564941.1
Px013941	XP_011564922.1
Px013942	XP_011564928.1
Px013943	XP_011564929.1
Px013944	XP_011564930.1
Px013945	XP_011551708.1
Px013747	XP_011562167.1
Px013748	XP_011562161.1
Px013750	XP_011562170.1
Px013751	XP_011562170.1
Px013752	XP_011562171.1
Px013753	XP_011551291.1
Px013754	XP_011562173.1
Px013755	XP_011562163.1
Px013756	XP_011562166.1
Px009175	XP_011561168.1
Px009176	XP_011561169.1
Px009177	XP_011561170.1
Px009178	XP_011548148.1
Px009179	XP_011548194.1
Px009180	XP_011561172.1
Px009181	XP_011561173.1
Px009182	XP_011561174.1
Px009183	XP_011561157.1
Px009184	XP_011561158.1
Px009185	XP_011561160.1
Px009186	XP_011561161.1
Px009187	XP_011561162.1
Px009188	XP_011561163.1
Px009189	XP_011561176.1
Px009190	XP_011561177.1
Px009191	XP_011561178.1
Px009192	XP_011561179.1
Px009193	XP_011561164.1
Px009194	XP_011552379.1
Px009195	XP_011560353.1
Px009198	XP_011561167.1
Px010887	XP_011563032.1
Px010888	XP_011563034.1
Px010889	XP_011549179.1
Px010890	XP_011560756.1
Px010891	XP_011564701.1
Px015201	XP_011565992.1
Px015202	XP_011568000.1
Px001215	XP_011567714.1
Px001216	XP_011567715.1
Px003427	XP_011568155.1
Px007632	XP_011560430.1
Px007633	XP_011560464.1
Px007634	XP_011560464.1
Px007635	XP_011560432.1
Px007636	XP_011560466.1
Px007637	XP_011560467.1
Px007638	XP_011560435.1
Px007639	XP_011560436.1
Px007640	XP_011560437.1
Px007641	XP_011560438.1
Px007642	XP_011560441.1
Px007643	XP_011560442.1
Px007644	XP_011560447.1
Px007645	XP_011560444.1
Px007646	XP_011560444.1
Px007647	XP_011560449.1
Px007648	XP_011560468.1
Px007649	XP_011560454.1
Px007650	XP_011560469.1
Px007652	XP_011560471.1
Px007653	XP_011560455.1
Px007654	XP_011560472.1
Px007655	XP_011560456.1
Px007656	XP_011560458.1
Px007657	XP_011560475.1
Px007658	XP_011560475.1
Px007659	XP_011560475.1
Px014766	XP_011565890.1
Px014767	XP_011565891.1
Px014768	XP_011565893.1
Px014769	XP_011560859.1
Px003301	XP_011560963.1
Px013350	XP_011555109.1
Px013351	XP_011564859.1
Px013352	XP_011560897.1
Px013353	XP_011564861.1
Px013354	XP_011564865.1
Px013355	XP_011564866.1
Px004053	XP_011568146.1
Px005710	XP_011553651.1
Px005711	XP_011553652.1
Px005712	XP_011555158.1
Px005713	XP_011555774.1
Px005714	XP_011556903.1
Px005715	XP_011553658.1
Px005716	XP_011553612.1
Px005717	XP_011553613.1
Px005718	XP_011553616.1
Px005719	XP_011562676.1
Px005720	XP_011562686.1
Px005721	XP_011568000.1
Px005722	XP_011553621.1
Px005723	XP_011553622.1
Px005724	XP_011553662.1
Px005725	XP_011553624.1
Px005726	XP_011553624.1
Px005727	XP_011553663.1
Px005728	XP_011553664.1
Px005729	XP_011553627.1
Px005730	XP_011553665.1
Px005731	XP_011553629.1
Px005732	XP_011553667.1
Px005733	XP_011553630.1
Px005735	XP_011553668.1
Px005736	XP_011553631.1
Px005738	XP_011553634.1
Px005739	XP_011553633.1
Px005740	XP_011553643.1
Px005741	XP_011553644.1
Px005742	XP_011553645.1
Px005743	XP_011559584.1
Px005744	XP_011560832.1
Px005745	XP_011553672.1
Px004022	XP_011556971.1
Px004023	XP_011556935.1
Px004024	XP_011556935.1
Px004025	XP_011556937.1
Px004026	XP_011556938.1
Px004027	XP_011556939.1
Px004028	XP_011556972.1
Px004029	XP_011556972.1
Px004030	XP_011556941.1
Px004031	XP_011556973.1
Px004032	XP_011556942.1
Px004033	XP_011556976.1
Px004034	XP_011556943.1
Px004035	XP_011556944.1
Px004036	XP_011556946.1
Px004037	XP_011556977.1
Px004039	XP_011556948.1
Px004040	XP_011551462.1
Px004041	XP_011556979.1
Px004042	XP_011567716.1
Px004043	XP_011556982.1
Px004044	XP_011556949.1
Px004045	XP_011556953.1
Px004046	XP_011556955.1
Px004047	XP_011562404.1
Px004048	XP_011556961.1
Px004049	XP_011556962.1
Px004050	XP_011556964.1
Px004051	XP_011556968.1
Px004052	XP_011568638.1
Px016799	XP_011566431.1
Px016800	XP_011566433.1
Px001579	XP_011567823.1
Px000783	XP_011567599.1
Px000784	XP_011567601.1
Px014770	XP_011552502.1
Px014771	XP_011552503.1
Px014772	XP_011552438.1
Px014773	XP_011552504.1
Px014774	XP_011552505.1
Px014775	XP_011565041.1
Px014776	XP_011552443.1
Px014777	XP_011565036.1
Px014778	XP_011552446.1
Px014779	XP_011552506.1
Px014780	XP_011552508.1
Px014781	XP_011565029.1
Px014782	XP_011552509.1
Px014783	XP_011552510.1
Px014784	XP_011552450.1
Px014785	XP_011552455.1
Px014786	XP_011552454.1
Px014787	XP_011552452.1
Px014788	XP_011552451.1
Px014789	XP_011552454.1
Px014790	XP_011552461.1
Px014791	XP_011552457.1
Px014792	XP_011561635.1
Px014793	XP_011552463.1
Px014794	XP_011552465.1
Px014795	XP_011552466.1
Px014796	XP_011552466.1
Px014797	XP_011552467.1
Px014798	XP_011552468.1
Px014799	XP_011552473.1
Px014800	XP_011552469.1
Px014801	XP_011552474.1
Px014802	XP_011552478.1
Px014803	XP_011552479.1
Px014804	XP_011552511.1
Px014805	XP_011554489.1
Px014806	XP_011552515.1
Px014808	XP_011552480.1
Px014809	XP_011552483.1
Px014810	XP_011552516.1
Px014811	XP_011552484.1
Px014812	XP_011552485.1
Px014813	XP_011552487.1
Px014814	XP_011552488.1
Px014815	XP_011552517.1
Px014816	XP_011552491.1
Px014817	XP_011552518.1
Px014818	XP_011552492.1
Px014819	XP_011552519.1
Px014820	XP_011552493.1
Px014821	XP_011552521.1
Px014822	XP_011567096.1
Px014823	XP_011552525.1
Px003873	XP_011567095.1
Px002386	XP_011567982.1
Px015384	XP_011566149.1
Px015385	XP_011550579.1
Px015386	XP_011550579.1
Px015387	XP_011550579.1
Px015471	XP_011565792.1
Px015472	XP_011565792.1
Px015474	XP_011557441.1
Px004171	XP_011557287.1
Px004172	XP_011557289.1
Px004173	XP_011557292.1
Px004174	XP_011557311.1
Px004175	XP_011557293.1
Px004176	XP_011557299.1
Px004177	XP_011559399.1
Px004178	XP_011557312.1
Px004180	XP_011557313.1
Px004182	XP_011557307.1
Px004184	XP_011557305.1
Px004185	XP_011549198.1
Px004186	XP_011549198.1
Px004188	XP_011557309.1
Px004189	XP_011557310.1
Px004190	XP_011557314.1
Px004191	XP_011557314.1
Px002154	XP_011567921.1
Px010324	XP_011562754.1
Px010326	XP_011562740.1
Px010327	XP_011562743.1
Px010328	XP_011562745.1
Px010329	XP_011562756.1
Px010330	XP_011562757.1
Px010331	XP_011562758.1
Px010332	XP_011562748.1
Px010333	XP_011562749.1
Px010334	XP_011562751.1
Px010335	XP_011562752.1
Px010336	XP_011562759.1
Px004416	XP_011557088.1
Px004417	XP_011557147.1
Px004418	XP_011557148.1
Px004419	XP_011557095.1
Px004421	XP_011557089.1
Px004422	XP_011557099.1
Px004423	XP_011557101.1
Px004424	XP_011557102.1
Px004425	XP_011557103.1
Px004426	XP_011554490.1
Px004427	XP_011557149.1
Px004428	XP_011557105.1
Px004429	XP_011557104.1
Px004430	XP_011557104.1
Px004431	XP_011560068.1
Px004432	XP_011557110.1
Px004433	XP_011557112.1
Px004434	XP_011557119.1
Px004435	XP_011557117.1
Px004436	XP_011557115.1
Px004437	XP_011557124.1
Px004438	XP_011557125.1
Px004439	XP_011557126.1
Px004441	XP_011557130.1
Px004442	XP_011557133.1
Px004444	XP_011557153.1
Px004445	XP_011557154.1
Px004446	XP_011557134.1
Px004447	XP_011557135.1
Px004448	XP_011557138.1
Px004449	XP_011557157.1
Px004450	XP_011557159.1
Px004451	XP_011557139.1
Px004452	XP_011561872.1
Px004453	XP_011557160.1
Px016358	XP_011566570.1
Px016359	XP_011566571.1
Px016716	XP_011566729.1
Px016717	XP_011555806.1
Px016718	XP_011566730.1
Px016719	XP_011555814.1
Px013768	XP_011565209.1
Px013769	XP_011565206.1
Px013770	XP_011565210.1
Px013771	XP_011565207.1
Px013772	XP_011565213.1
Px013773	XP_011565214.1
Px013774	XP_011565215.1
Px013775	XP_011565208.1
Px013776	XP_011565216.1
Px013777	XP_011563978.1
Px014525	XP_011565732.1
Px014526	XP_011565733.1
Px014527	XP_011565734.1
Px014528	XP_011565737.1
Px014529	XP_011565735.1
Px014530	XP_011565738.1
Px013951	XP_011562591.1
Px013952	XP_011562605.1
Px013953	XP_011565498.1
Px013954	XP_011565525.1
Px013955	XP_011562047.1
Px013956	XP_011562400.1
Px013957	XP_011552957.1
Px013958	XP_011562068.1
Px013959	XP_011562090.1
Px013960	XP_011562105.1
Px013962	XP_011562649.1
Px013963	XP_011562659.1
Px013964	XP_011562670.1
Px013965	XP_011562115.1
Px013966	XP_011562156.1
Px013967	XP_011562156.1
Px013968	XP_011562165.1
Px013969	XP_011562681.1
Px013970	XP_011562681.1
Px013971	XP_011562681.1
Px013974	XP_011562176.1
Px013975	XP_011562187.1
Px013978	XP_011562198.1
Px013979	XP_011562209.1
Px013980	XP_011562225.1
Px013981	XP_011562239.1
Px013982	XP_011562248.1
Px013983	XP_011562258.1
